,index,COMMODITY_DESC,AREA HARVESTED,AREA PLANTED,smoke_estimate,num_fires,PRODUCTION,YIELD,numeric_index
0,1963-01-01,OATS,41000.0,49000.0,7.409755489014682,344.0,1148000.0,28.0,-220924800000000000
1,1964-01-01,OATS,52500.0,53500.0,9.473444545191878,353.0,2257500.0,43.0,-189388800000000000
2,1965-01-01,OATS,53000.0,54000.0,6.4152118274074015,313.0,2544000.0,48.0,-157766400000000000
3,1966-01-01,OATS,50000.0,53000.0,8.631456184536034,379.0,1850000.0,37.0,-126230400000000000
4,1967-01-01,OATS,41000.0,53000.0,6.593156925304841,404.0,861000.0,21.0,-94694400000000000
5,1968-01-01,OATS,65000.0,68000.0,8.650442328903003,362.0,2925000.0,45.0,-63158400000000000
6,1969-01-01,OATS,61000.0,65000.0,7.775776374173888,289.0,3050000.0,50.0,-31536000000000000
7,1970-01-01,OATS,57000.0,64000.0,9.188843207565718,524.0,1767000.0,31.0,0
8,1971-01-01,OATS,51000.0,56000.0,10.242203829232826,407.0,2499000.0,49.0,31536000000000000
9,1972-01-01,OATS,48000.0,56000.0,9.040092677972618,429.0,2160000.0,41.8,63072000000000000
10,1973-01-01,OATS,31000.0,53000.0,10.070831728231306,458.0,744000.0,19.0,94694400000000000
11,1974-01-01,OATS,42900.0,56200.0,8.558115085852231,582.0,880400.0,18.1,126230400000000000
12,1975-01-01,OATS,45900.0,55700.0,8.770256301241643,442.0,2074800.0,41.2,157766400000000000
13,1976-01-01,OATS,42400.0,53300.0,7.351727410641395,579.0,1457100.0,30.85,189302400000000000
14,1977-01-01,OATS,15700.0,43000.0,7.718897706774714,498.0,428400.0,18.65,220924800000000000
15,1978-01-01,OATS,42000.0,46500.0,8.018803236098798,524.0,2347500.0,53.2,252460800000000000
16,1979-01-01,OATS,31500.0,41000.0,10.593363838839329,710.0,1323000.0,42.0,283996800000000000
17,1980-01-01,OATS,6600.0,30000.0,9.61827854453652,907.0,196000.0,23.1,315532800000000000
18,1981-01-01,OATS,28500.0,39000.0,10.184407038923297,949.0,1011000.0,35.5,347155200000000000
19,1982-01-01,OATS,32000.0,37000.0,9.410505784911413,623.0,1635000.0,51.0,378691200000000000
20,1983-01-01,OATS,40500.0,50000.0,10.112897738323984,787.0,1640000.0,40.25,410227200000000000
21,1984-01-01,OATS,31000.0,38000.0,10.091184883310715,1015.0,1426000.0,45.5,441763200000000000
22,1985-01-01,OATS,32400.0,45000.0,11.05764388369136,1363.0,1528000.0,46.900000000000006,473385600000000000
23,1986-01-01,OATS,29000.0,40000.0,9.895962562629496,1340.0,1465000.0,43.55,504921600000000000
24,1987-01-01,OATS,27500.0,43500.0,10.480642558491368,1846.0,1388000.0,41.2,536457600000000000
25,1988-01-01,OATS,3000.0,38000.0,10.65791414028378,1664.0,24000.0,4.3,567993600000000000
26,1989-01-01,OATS,12000.0,47000.0,10.30974536746288,1366.0,288000.0,15.05,599616000000000000
27,1990-01-01,OATS,26500.0,41000.0,9.049541573567046,1167.0,1127000.0,35.0,631152000000000000
28,1991-01-01,OATS,25000.0,41000.0,9.64303017069209,1146.0,999000.0,40.0,662688000000000000
29,1992-01-01,OATS,20000.0,31000.0,9.04554870379612,1129.0,1355000.0,67.8,694224000000000000
30,1993-01-01,OATS,19200.0,32500.0,10.174825723428231,820.0,1256000.0,65.4,725846400000000000
31,1994-01-01,OATS,17000.0,27000.0,11.739397862022903,1593.0,906000.0,53.3,757382400000000000
32,1995-01-01,OATS,20000.0,25000.0,10.362040264022507,1274.0,867000.0,43.4,788918400000000000
33,1996-01-01,OATS,13000.0,20000.0,12.33777852848044,1614.0,550000.0,42.3,820454400000000000
34,1997-01-01,OATS,12500.0,25500.0,10.103605626867571,903.0,393000.0,31.4,852076800000000000
35,1998-01-01,OATS,10900.0,26000.0,10.920190307352048,1315.0,601000.0,55.1,883612800000000000
36,1999-01-01,OATS,11900.0,21000.0,11.318857262241432,1806.0,720000.0,60.5,915148800000000000
37,2000-01-01,OATS,9800.0,18000.0,11.654269525836234,2374.0,590000.0,60.2,946684800000000000
38,2001-01-01,OATS,10000.0,20000.0,10.92203931429042,2010.0,515000.0,51.5,978307200000000000
39,2002-01-01,OATS,8500.0,21000.0,11.528383645819137,1894.0,217000.0,25.5,1009843200000000000
40,2003-01-01,OATS,14000.0,20000.0,11.542973067180004,2151.0,790000.0,56.4,1041379200000000000
41,2004-01-01,OATS,8600.0,18000.0,11.47541993329654,1649.0,582000.0,67.7,1072915200000000000
42,2005-01-01,OATS,10300.0,18500.0,12.371238182647753,2364.0,622000.0,60.4,1104537600000000000
43,2006-01-01,OATS,900.0,14000.0,12.551555555744086,3284.0,20000.0,22.2,1136073600000000000
44,2007-01-01,OATS,7400.0,16500.0,12.463145314371866,3119.0,416000.0,56.2,1167609600000000000
45,2008-01-01,OATS,5190.0,12000.0,12.625039758427688,2802.0,228000.0,43.9,1199145600000000000
46,2009-01-01,OATS,24628.26923076923,35138.46153846154,12.31837796019284,2979.0,1053782.6923076925,44.30480769230769,1230768000000000000
47,2010-01-01,OATS,3500.0,8500.0,12.344824003332796,2927.0,210000.0,60.0,1262304000000000000
48,2011-01-01,OATS,2450.0,5800.0,11.47529575468192,4811.0,148000.0,60.4,1293840000000000000
49,2012-01-01,OATS,24628.26923076923,35138.46153846154,12.641902066028186,3435.0,1053782.6923076925,44.30480769230769,1325376000000000000
50,2013-01-01,OATS,24628.26923076923,35138.46153846154,12.427701263546766,2660.0,1053782.6923076925,44.30480769230769,1356998400000000000
51,2014-01-01,OATS,2350.0,7600.0,13.158079315856886,3015.0,181000.0,77.0,1388534400000000000
52,2015-01-01,OATS,24628.26923076923,35138.46153846154,13.303617896172916,3224.0,1053782.6923076925,44.30480769230769,1420070400000000000
53,2016-01-01,OATS,24628.26923076923,35138.46153846154,13.19331002425178,3834.0,1053782.6923076925,44.30480769230769,1451606400000000000
54,2017-01-01,OATS,24628.26923076923,35138.46153846154,12.81189054528222,3965.0,1053782.6923076925,44.30480769230769,1483228800000000000
55,2018-01-01,OATS,24628.26923076923,35138.46153846154,12.88138663893973,3737.0,1053782.6923076925,44.30480769230769,1514764800000000000
56,2019-01-01,OATS,24628.26923076923,35138.46153846154,11.554043417740798,3117.0,1053782.6923076925,44.30480769230769,1546300800000000000
57,2020-01-01,OATS,1800.0,9800.0,8.339470247598388,4271.0,142000.0,78.9,1577836800000000000
58,2021-01-01,OATS,23484.301361776455,32991.64662759055,11.584988561504815,3500.591581561991,1214872.6830586083,53.250198592138354,1609459200000000000
59,2022-01-01,OATS,20487.642020197763,32163.92772447379,11.757401684335896,3280.646753593275,875940.5300938421,46.899825944963816,1640995200000000000
60,2023-01-01,OATS,20207.180689249475,31659.712580695636,11.64257783372349,3099.325285355796,869843.3156894208,46.24192907021822,1672531200000000000
61,2024-01-01,OATS,20152.628329514424,31533.739462076785,11.542944049426731,2945.3447762005353,863924.3541013324,45.84728857482988,1704067200000000000
62,2025-01-01,OATS,20310.59572734095,31614.516777978577,11.450571740157738,2815.3381273728546,869825.627323226,45.57219083889893,1735689600000000000
63,2026-01-01,OATS,20560.911018070776,31809.53925176637,11.365401740308673,2704.4385390043603,879304.9749102691,45.31404423059618,1767225600000000000
64,2027-01-01,OATS,20863.539209347888,32071.130010838082,11.286682175571045,2608.6190391357927,890901.6271087333,45.072121775703756,1798761600000000000
65,2028-01-01,OATS,21191.814544868073,32368.704036748684,11.214045890954887,2524.864752346214,903532.413730663,44.846210904581405,1830297600000000000
66,2029-01-01,OATS,21528.41123057794,32681.949487169302,11.147117695618146,2450.9366749756914,916515.7817818633,44.63625827092064,1861920000000000000
67,2030-01-01,OATS,21861.980084196588,32997.453907840936,11.085518096633882,2385.153561881423,929402.5208550672,44.44177907724125,1893456000000000000
68,2031-01-01,OATS,22185.31091275961,33306.556072442174,11.028870820430333,2326.233989536218,941906.8061927264,44.26207257472718,1924992000000000000
69,2032-01-01,OATS,22494.029054566425,33603.85808348987,10.976811112995241,2273.1849107570333,953854.6123712654,44.096318911671176,1956528000000000000
70,2033-01-01,OATS,22785.689785130366,33886.19009431503,10.92899071585542,2225.223013207085,965148.0772567136,43.94364404008822,1988150400000000000
71,2034-01-01,OATS,23059.14814662079,34151.89064039736,10.88508064431283,2181.719054599001,975740.6631177576,43.80316127245683,2019686400000000000
72,2035-01-01,OATS,23314.12200017428,34400.307420374935,10.84477247729851,2142.1583150193105,985619.9345089726,43.67399806230723,2051222400000000000
